District,Total Enrollment,Total Revenue
A.C.G.C. SCHOOL DISTRICT,777,10868
ABBEVILLE COUNTY SCHOOL DISTRICT,3051,32414
ABBOTSFORD SCHOOL DISTRICT,718,9612
ABBOTT IND SCH DIST 901,264,3017
ABC UNIF SCHOOL DIST,20998,213910
ABERDEEN SCHOOL DISTRICT,1300,14436
ABERDEEN SCHOOL DISTRICT 5,3270,42595
ABERDEEN SCHOOL DISTRICT 58,740,6815
ABERDEEN SCHOOL DISTRICT 6-1,4383,43545
ABERNATHY IND SCH DIST 901,779,10891
ABILENE IND SCH DIST 901,17324,160247
ABILENE UNIFIED SCHOOL DISTRICT 435,1687,16860
Abingdon-Avon CUSD 276,1003,10843
ABINGTON HTS SCH DIST,3286,46018
ABINGTON SCH DIST,7674,137018
ABINGTON TOWN SCHS,1956,31218
ABSAROKEE ELEM SCH DIST 52-C,169,1952
ABSAROKEE H S DIST 52,81,1690
ABSECON SCHOOL DISTRICT,856,14872
ACADEMY IND SCH DIST 901,1364,13216
ACADEMY SCHOOL DIST 20,24578,244467
ACADIA PARISH SCHOOL DISTRICT,10053,96876
ACALANES UNION HIGH SCHOOL DIST,5402,77867
ACCOMACK COUNTY SCHOOL,5258,55068
ACHIEVEMENT SCHOOL DISTRICT,7137,80686
ACHILLE SCH DIST 3,314,3231
ACKERMAN ELEM SCH DIST,556,4673
ACTON SCHOOL DEPARTMENT,306,5489
ACTON-AGUA DULCE UNIFIED SCHOOL DISTRICT,4043,37562
ACTON-BOXBOROUGH REG SCH DIST,5658,95583
ACUSHNET TOWN SCHS,973,16153
ADA EXEMPTED SCH DIST,851,10549
ADA SCH DIST 19,2739,24347
ADA-BORUP SCHOOL DISTRICT 2854,483,6184
ADAIR CO SCH DIST,2713,29385
ADAIR COUNTY SCHOOL DISTRICT R 1,275,2969
ADAIR COUNTY SCHOOL DISTRICT R-2,183,2363
ADAIR SCH DIST 2,1051,8119
ADAIR-CASEY COMMUNITY SCHOOL DISTRICT,341,4651
ADAMS 12 FIVE STAR SCHOOLS DISTRICT,38701,404789
ADAMS CENTRAL COMMUNITY SCHOOL DISTRICT,1023,14129
ADAMS CENTRAL RURAL HIGH SCHOOL DIST 090,890,13083
ADAMS CHESHIRE REG SCH DIST,1352,24686
ADAMS COUNTY SCHOOL DISTRICT 50,10161,113426
ADAMS COUNTY/OHIO VALLEY LOCAL SCH DIST,3986,50442
ADAMS SCHOOL DISTRICT 14,7584,82956
ADAMS TWP SCH DIST,452,4731
ADAMS-ARAPAHOE SCHOOL DISTRICT 28J,41729,451384
ADAMS-FRIENDSHIP SCHOOL DISTRICT,1625,23557
ADDISON CENTRAL SCH DIST,1140,29704
ADDISON COMM SCH DIST,851,10188
ADDISON SCHOOL DISTRICT 4,4299,56857
ADDISON TOWN SCH DIST,81,1548
ADELANTO ELEM SCH DIST,10378,103147
ADEL-DESOTO-MIDBURN COMMUNITY SCHOOL DISTRICT,1550,20065
ADENA LOCAL SCH DIST,1208,12478
ADIRONDACK CENTRAL SCH DIST,1322,27624
ADLAI E STEVENSON DISTRICT 125,3906,115327
ADNA SCHOOL DISTRICT 226,612,6316
ADRIAN CITY SCH DIST,3017,37487
ADRIAN SCH DIST 511,575,7565
ADRIAN SCH DIST 61,266,3856
ADRIAN SCH DIST 903,117,2116
ADRIAN SCH DIST R 3,763,7650
ADVANCE SCH DIST R 4,446,3893
AFFTON SCH DIST 101,2504,29496
AFTON CENTRAL SCH DIST,571,16967
AFTON SCH DIST 26,565,4829
AGAR-BLUNT-ONIDA SCHOOL DISTRICT 58-3,267,4417
AGAWAM CITY SCHOOLS,4091,64862
AGRA SCH DIST 134,424,3845
AGUA DULCE IND SCH DIST 901,397,4576
AGUA FRIA UNION HIGH SCHOOL DISTRICT 216,7542,68082
AGUILA SCHOOL DISTRICT 63,218,1720
AGUILAR REORG SCHOOL DISTRICT 6,130,2110
AGWSR COMMUNITY SCHOOL DISTRICT,691,8304
A-H-S-T SCHOOL DISTRICT,650,8363
AIKEN COUNTY SCHOOL DISTRICT,24534,246394
AINSWORTH SCHOOL DIST 10,477,7044
AIRLINE COMMUNITY SCHOOL DISTRICT 8 (908),60,842
AIRPORT COMM SCH DIST,2462,25980
AITKIN IND SCH DIST 1,1204,15023
AJO SCHOOL DISTRICT 15 AND 103,416,3708
AKIN COMMUNITY CONSOLIDATED SCHOOL DISTRICT 91,98,1586
AKRON CENTRAL SCH DIST,1430,28569
AKRON CITY SCH DIST,21532,385747
AKRON SCHOOL DISTRICT 1,357,4500
AKRON-FAIRGROVE SCH DIST,285,3904
AKRON-WESTFIELD COMMUNITY SCHOOL DISTRICT,513,7140
ALACHUA COUNTY SCHOOL DISTRICT,28689,272451
ALAMANCE COUNTY-BURLINGTON SCHOOL DISTRICT,23040,187732
ALAMEDA CO OFFICE OF ED,3931,48528
ALAMEDA UNIFIED SCH DIST,11020,115979
ALAMO HEIGHTS IND SCH DIST 901,4763,79576
ALAMO TOWN SCH DIST,656,4803
ALAMOGORDO SCH DIST,5931,60460
ALAMOSA SCHOOL DISTRICT RE 11J,2136,21161
ALASKA GATEWAY REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),382,13520
ALBA GOLDEN IND SCH DIST 906,854,8362
ALBA SCH DIST,139,1861
ALBANY CITY SCHOOL DIST,8942,240998
ALBANY CITY UNIFIED SCH DIST,3881,65721
ALBANY CO SCH DIST 1,3900,91267
ALBANY IND SCH DIST 745,1748,19457
ALBANY IND SCH DIST 901,488,5478
ALBANY SCH DIST R 3,448,4981
ALBANY SCHOOL DISTRICT,360,6300
ALBANY TOWN SCH DIST,89,1560
ALBANY TOWN SCH DIST,94,1870
ALBEMARLE COUNTY SCHOOL DISTRICT,13681,199378
ALBERS SCHOOL DISTRICT 63,191,1779
ALBERT GALLATIN AREA SCHOOL DIST,3435,50592
ALBERT LEA IND SCHOOL DIST 241,3376,47932
ALBERT-CITY TRUESDALE COMMUNITY SCHOOL DISTRICT,210,2869
ALBERTON K-12 SCHOOL DISTRICT,144,2429
ALBERTVILLE CITY SCHOOL DISTRICT,4965,45519
ALBIA COMMUNITY SCHOOL DISTRICT,1239,14389
ALBION CENTRAL SCH DIST,1991,35767
ALBION CITY SCH DIST,543,8782
ALBION SCH DIST 2,78,954
ALBUQUERQUE SCH DIST,93001,1051179
ALBURG TOWN SCH DIST,300,5167
ALBURNETT COMMUNITY SCHOOL DISTRICT,543,8241
ALCESTER-HUDSON SCHOOL DISTRICT 61-1,331,3691
ALCOA CITY SCH DIST,1943,20502
ALCONA COMM SCHS,726,8002
ALCORN COUNTY SCHOOL DISTRICT,3380,29530
ALDEN CENTRAL SCH DIST,1711,32871
ALDEN COMMUNITY SCHOOL DISTRICT,276,3803
ALDEN IND SCH DIST 242,499,6092
ALDEN-HEBRON COMMUNITY CONSOLIDATED SCHOOL DISTRICT 19,456,7510
ALDINE IND SCH DISTRICT 902,69716,725892
ALEDO IND SCH DIST 907,5037,50211
ALEUTIAN REGION SCHOOL DISTRICT,37,2128
ALEUTIANS EAST BOROUGH SCHOOL DISTRICT,246,10710
ALEX SCH DIST 56,309,3184
ALEXANDER CENTRAL SCH,889,16530
ALEXANDER CITY SCHOOL DISTRICT,3102,29818
ALEXANDER CO SCHS,5257,45958
ALEXANDER LOCAL SCH DIST,1553,18045
ALEXANDER SCHOOL DISTRICT #2,181,4662
ALEXANDER TOWN SCHOOLS,62,982
ALEXANDER VAL UNION ELEM SCH DIST,119,2065
ALEXANDRIA CENTRAL SCH DIST,578,12356
ALEXANDRIA CITY SCHOOLS,14216,252140
ALEXANDRIA COMMUNITY SCHOOL CORPORATION,1587,16927
ALEXANDRIA SCH DIST 206,3984,56048
ALEXANDRIA TWP SCH DIST,486,11341
ALFRED-ALMOND CENTRAL SCH DIST 1,666,12542
ALGOMA SCHOOL DISTRICT,702,9555
ALGONA COMMUNITY SCHOOL DISTRICT,1404,19847
ALGONAC COMM SCH DIST 1,1714,18773
